No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area,7 neighborhood rating
1,1996,29,1679,7,25.033,121.564,700153.6281284783,5
2,2009,16,261,7,25.033,121.565,702528.6745058781,4
3,2018,7,301,5,25.034,121.566,502715.0239209343,3
4,2004,21,1095,7,25.035,121.567,700507.0327046571,5
5,2000,25,369,6,25.036,121.568,601435.367421019,4
6,1997,28,1986,7,25.037,121.569,700121.7785956196,4
7,2018,7,915,5,25.038,121.57,500101.75165880425,5
8,2010,15,1394,5,25.039,121.571,500643.62679910567,3
9,1996,29,555,6,25.04,121.572,601622.3748777717,5
10,2015,10,1585,4,25.041,121.573,400399.4330960715,4
11,1996,29,1679,7,25.033,121.564,700153.6281284783,5
12,2009,16,261,7,25.033,121.565,702528.6745058781,4
13,2018,7,301,5,25.034,121.566,502715.0239209343,3
14,2004,21,1095,7,25.035,121.567,700507.0327046571,5
15,2000,25,369,6,25.036,121.568,601435.367421019,4
16,1997,28,1986,7,25.037,121.569,700121.7785956196,4
17,2018,7,915,5,25.038,121.57,500101.75165880425,5
18,2010,15,1394,5,25.039,121.571,500643.62679910567,3
19,1996,29,555,6,25.04,121.572,601622.3748777717,5
20,2015,10,1585,4,25.041,121.573,400399.4330960715,4
21,1996,29,1679,7,25.033,121.564,700153.6281284783,5
22,2009,16,261,7,25.033,121.565,702528.6745058781,4
23,2018,7,301,5,25.034,121.566,502715.0239209343,3
24,2004,21,1095,7,25.035,121.567,700507.0327046571,5
25,2000,25,369,6,25.036,121.568,601435.367421019,4
26,1997,28,1986,7,25.037,121.569,700121.7785956196,4
27,2018,7,915,5,25.038,121.57,500101.75165880425,5
28,2010,15,1394,5,25.039,121.571,500643.62679910567,3
29,1996,29,555,6,25.04,121.572,601622.3748777717,5
30,2015,10,1585,4,25.041,121.573,400399.4330960715,4
31,1996,29,1679,7,25.033,121.564,700153.6281284783,5
32,2009,16,261,7,25.033,121.565,702528.6745058781,4
33,2018,7,301,5,25.034,121.566,502715.0239209343,3
34,2004,21,1095,7,25.035,121.567,700507.0327046571,5
35,2000,25,369,6,25.036,121.568,601435.367421019,4
36,1997,28,1986,7,25.037,121.569,700121.7785956196,4
37,2018,7,915,5,25.038,121.57,500101.75165880425,5
38,2010,15,1394,5,25.039,121.571,500643.62679910567,3
39,1996,29,555,6,25.04,121.572,601622.3748777717,5
40,2015,10,1585,4,25.041,121.573,400399.4330960715,4
41,1996,29,1679,7,25.033,121.564,700153.6281284783,5
42,2009,16,261,7,25.033,121.565,702528.6745058781,4
43,2018,7,301,5,25.034,121.566,502715.0239209343,3
44,2004,21,1095,7,25.035,121.567,700507.0327046571,5
45,2000,25,369,6,25.036,121.568,601435.367421019,4
46,1997,28,1986,7,25.037,121.569,700121.7785956196,4
47,2018,7,915,5,25.038,121.57,500101.75165880425,5
48,2010,15,1394,5,25.039,121.571,500643.62679910567,3
49,1996,29,555,6,25.04,121.572,601622.3748777717,5
50,2015,10,1585,4,25.041,121.573,400399.4330960715,4
51,1996,29,1679,7,25.033,121.564,700153.6281284783,5
52,2009,16,261,7,25.033,121.565,702528.6745058781,4
53,2018,7,301,5,25.034,121.566,502715.0239209343,3
54,2004,21,1095,7,25.035,121.567,700507.0327046571,5
55,2000,25,369,6,25.036,121.568,601435.367421019,4
56,1997,28,1986,7,25.037,121.569,700121.7785956196,4
57,2018,7,915,5,25.038,121.57,500101.75165880425,5
58,2010,15,1394,5,25.039,121.571,500643.62679910567,3
59,1996,29,555,6,25.04,121.572,601622.3748777717,5
60,2015,10,1585,4,25.041,121.573,400399.4330960715,4
61,1996,29,1679,7,25.033,121.564,700153.6281284783,5
62,2009,16,261,7,25.033,121.565,702528.6745058781,4
63,2018,7,301,5,25.034,121.566,502715.0239209343,3
64,2004,21,1095,7,25.035,121.567,700507.0327046571,5
65,2000,25,369,6,25.036,121.568,601435.367421019,4
66,1997,28,1986,7,25.037,121.569,700121.7785956196,4
67,2018,7,915,5,25.038,121.57,500101.75165880425,5
68,2010,15,1394,5,25.039,121.571,500643.62679910567,3
69,1996,29,555,6,25.04,121.572,601622.3748777717,5
