FORECAST_ID,PRODUCT_NUMBER,YEAR,MONTH,EXPECTED_VOLUME
1,2023,12,90,262.0
2,2023,12,84,751.0
3,2023,12,468,196.0
4,2023,12,91,321.0
5,2023,12,35,895.0
6,2023,12,998,241.0
7,2023,12,543,944.0
8,2023,12,295,509.0
9,2023,12,395,376.0
10,2023,12,465,315.0
11,2023,12,390,65.0
12,2023,12,562,69.0
13,2023,12,120,812.0
14,2023,12,422,204.0
15,2023,12,106,447.0
16,2023,12,426,636.0
17,2023,12,697,852.0
18,2023,12,765,133.0
19,2023,12,182,948.0
20,2023,12,264,411.0
21,2023,12,513,600.0
22,2023,12,152,810.0
23,2023,12,254,315.0
24,2023,12,604,999.0
25,2023,12,39,103.0
26,2023,12,209,466.0
27,2023,12,88,898.0
28,2023,12,73,288.0
29,2023,12,241,410.0
30,2023,12,291,317.0
31,2023,12,202,489.0
32,2023,12,233,616.0
33,2023,12,558,170.0
34,2023,12,118,419.0
35,2023,12,57,127.0
36,2023,12,622,679.0
37,2023,12,152,55.0
38,2023,12,311,536.0
39,2023,12,428,727.0
40,2023,12,104,308.0
41,2023,12,248,494.0
42,2023,12,275,905.0
43,2023,12,54,957.0
44,2023,12,365,321.0
45,2023,12,421,555.0
46,2023,12,258,747.0
47,2023,12,120,394.0
48,2023,12,361,676.0
49,2023,12,421,390.0
50,2023,12,267,109.0
51,2023,12,24,411.0
52,2023,12,36,497.0
53,2023,12,64,53.0
54,2023,12,134,386.0
55,2023,12,436,185.0
56,2023,12,110,701.0
57,2023,12,38,606.0
58,2023,12,35,294.0
59,2023,12,14,140.0
60,2023,12,126,522.0
61,2023,12,23,668.0
62,2023,12,37,725.0
63,2023,12,40,918.0
64,2023,12,200,734.0
65,2023,12,204,86.0
66,2023,12,105,642.0
67,2023,12,422,270.0
68,2023,12,276,324.0
69,2023,12,29,819.0
70,2023,12,905,658.0
71,2023,12,544,959.0
72,2023,12,349,458.0
73,2023,12,299,986.0
74,2023,12,177,626.0
75,2023,12,51,394.0
76,2023,12,46,364.0
77,2023,12,183,258.0
78,2023,12,72,267.0
79,2023,12,87,620.0
80,2023,12,299,887.0
81,2023,12,489,341.0
82,2023,12,467,535.0
83,2023,12,595,919.0
84,2023,12,204,606.0
85,2023,12,1174,258.0
86,2023,12,748,601.0
87,2023,12,652,247.0
88,2023,12,533,52.0
89,2023,12,448,511.0
90,2023,12,99,266.0
91,2023,12,55,726.0
92,2023,12,83,330.0
93,2023,12,453,163.0
94,2023,12,126,616.0
95,2023,12,415,782.0
96,2023,12,311,604.0
97,2023,12,164,794.0
98,2023,12,363,780.0
99,2023,12,419,239.0
100,2023,12,144,206.0
101,2023,12,802,432.0
102,2023,12,420,796.0
103,2023,12,1130,225.0
104,2023,12,610,946.0
105,2023,12,298,371.0
106,2023,12,324,795.0
107,2023,12,141,320.0
108,2023,12,251,140.0
109,2023,12,1002,804.0
110,2023,12,146,125.0
111,2023,12,213,702.0
112,2023,12,610,613.0
113,2023,12,318,520.0
114,2023,12,248,705.0
115,2022,12,130,487.0
116,2022,12,632,427.0
117,2022,12,261,180.0
118,2022,12,98,501.0
119,2022,12,227,535.0
120,2022,12,353,796.0
121,2022,12,38,635.0
122,2022,12,103,586.0
123,2022,12,112,335.0
124,2022,12,171,128.0
125,2022,12,297,622.0
126,2022,12,452,737.0
127,2022,12,195,590.0
128,2022,12,482,809.0
129,2022,12,178,547.0
130,2022,12,191,899.0
131,2022,12,41,777.0
132,2022,12,156,393.0
133,2022,12,135,259.0
134,2022,12,225,276.0
